Image,Average,Dominant,Darkest,Brightest
W0,#9a8d74,#bbac8d,#000000,#efebe0
W1,#948165,#b7a07c,#000000,#ffffee
W2,#948161,#b29972,#000000,#eef3f5
W3,#998567,#bba37c,#000000,#fffff1
W4,#988464,#bca27a,#000000,#f6f5f3
W5,#958265,#bca37f,#000000,#fffff6
W6,#927f60,#b19870,#000000,#ffffff
W7,#927e62,#af9671,#000000,#f4f3f1
W8,#937e63,#b69c7a,#000000,#f9f9f7
