   DATE        X           sigmaX     Y         sigmaY
47904.0000      0.449      0.270     -0.160      0.254 
47905.0000      0.553      0.355     -0.202      0.329 
47906.0000      0.374      0.484     -0.256      0.442 
47907.0000      0.159      0.598     -0.270      0.542 
47908.0000      0.177      0.496     -0.131      0.468 
47909.0000      0.258      0.367      0.012      0.370 
47910.0000      0.311      0.315      0.066      0.348 
47911.0000      0.252      0.309     -0.208      0.390 
47912.0000      0.133      0.317     -0.678      0.465 
47913.0000      0.236      0.312     -0.741      0.409 
47914.0000      0.371      0.304     -0.551      0.321 
47915.0000      0.165      0.334     -0.145      0.281 
47916.0000     -0.142      0.376      0.121      0.253 
47917.0000     -0.253      0.436     -0.185      0.245 
47918.0000      0.027      0.397     -0.329      0.234 
47919.0000      0.438      0.323     -0.191      0.218 
47920.0000      0.318      0.294     -0.133      0.212 
47921.0000     -0.075      0.274     -0.122      0.209 
47922.0000     -0.162      0.290     -0.052      0.212 
47923.0000     -0.097      0.316      0.029      0.216 
47924.0000      0.030      0.342      0.086      0.220 
47925.0000      0.084      0.413      0.008      0.225 
47926.0000      0.102      0.518     -0.123      0.231 
47927.0000      0.104      0.601     -0.239      0.235 
47928.0000      0.100      0.524     -0.258      0.228 
47929.0000      0.067      0.427     -0.243      0.220 
47930.0000     -0.012      0.427     -0.170      0.220 
47931.0000     -0.143      0.450     -0.219      0.223 
47932.0000     -0.347      0.396     -0.620      0.230 
47933.0000     -0.221      0.347     -0.595      0.227 
47934.0000      0.042      0.297     -0.294      0.221 
47935.0000      0.058      0.282     -0.123      0.223 
47936.0000      0.075      0.258     -0.143      0.212 
47937.0000      0.166      0.225     -0.275      0.194 
47938.0000      0.296      0.218     -0.358      0.195 
47939.0000      0.346      0.214     -0.344      0.196 
47940.0000      0.177      0.217     -0.130      0.199 
47941.0000      0.045      0.220     -0.200      0.201 
47942.0000      0.045      0.218     -0.296      0.201 
47943.0000      0.146      0.211     -0.280      0.199 
47944.0000      0.302      0.203     -0.214      0.197 
47945.0000      0.386      0.201     -0.227      0.199 
47946.0000      0.420      0.202     -0.280      0.205 
47947.0000      0.432      0.202     -0.329      0.213 
47948.0000      0.421      0.203     -0.360      0.220 
47949.0000      0.389      0.204     -0.360      0.225 
47950.0000      0.328      0.194     -0.284      0.208 
47951.0000      0.260      0.182     -0.201      0.185 
47952.0000      0.204      0.183     -0.190      0.186 
47953.0000      0.159      0.186     -0.219      0.190 
47954.0000      0.123      0.189     -0.268      0.194 
47955.0000      0.098      0.191     -0.277      0.203 
47956.0000      0.084      0.195     -0.261      0.221 
47957.0000      0.079      0.201     -0.239      0.249 
47958.0000      0.082      0.206     -0.215      0.274 
47959.0000      0.093      0.209     -0.192      0.290 
47960.0000      0.156      0.222     -0.193      0.375 
47961.0000      0.229      0.247     -0.205      0.543 
47962.0000      0.282      0.274     -0.222      0.730 
47963.0000      0.297      0.294     -0.242      0.861 
47964.0000      0.261      0.304     -0.263      0.927 
47965.0000      0.159      0.349     -0.314      1.241 
47966.0000     -0.036      0.376     -0.282      1.440 
47967.0000     -0.214      0.342     -0.213      1.148 
47968.0000     -0.183      0.342     -0.261      0.947 
47969.0000     -0.033      0.341     -0.362      0.706 
47970.0000      0.039      0.323     -0.220      0.593 
47971.0000      0.053      0.286      0.013      0.475 
47972.0000      0.045      0.246      0.156      0.349 
47973.0000      0.011      0.218      0.107      0.262 
47974.0000     -0.055      0.209     -0.264      0.230 
47975.0000     -0.131      0.209     -0.517      0.223 
47976.0000     -0.192      0.210     -0.500      0.218 
47977.0000     -0.216      0.211     -0.367      0.212 
47978.0000     -0.180      0.212     -0.241      0.207 
47979.0000     -0.053      0.219     -0.270      0.214 
47980.0000      0.072      0.239     -0.299      0.232 
47981.0000      0.161      0.279     -0.297      0.271 
47982.0000      0.204      0.336     -0.268      0.325 
47983.0000      0.185      0.388     -0.211      0.375 
47984.0000      0.089      0.418     -0.126      0.404 
47985.0000     -0.112      0.535     -0.009      0.516 
47986.0000     -0.220      0.549      0.061      0.530 
47987.0000     -0.186      0.483      0.062      0.465 
47988.0000     -0.065      0.395      0.017      0.378 
47989.0000      0.100      0.320     -0.056      0.304 
47990.0000      0.103      0.296     -0.070      0.281 
47991.0000      0.041      0.271     -0.069      0.258 
47992.0000     -0.014      0.241     -0.088      0.229 
47993.0000     -0.038      0.218     -0.139      0.208 
47994.0000     -0.009      0.206     -0.234      0.196 
47995.0000      0.110      0.198     -0.394      0.190 
47996.0000      0.171      0.195     -0.548      0.187 
47997.0000      0.139      0.192     -0.656      0.184 
47998.0000      0.074      0.190     -0.700      0.180 
47999.0000      0.027      0.188     -0.661      0.178 
48000.0000      0.099      0.181     -0.468      0.170 
48001.0000      0.195      0.173     -0.229      0.161 
48002.0000      0.217      0.179      0.029      0.166 
48003.0000      0.189      0.189      0.195      0.175 
48004.0000      0.137      0.197      0.157      0.182 
48005.0000      0.083      0.194     -0.255      0.180 
48006.0000     -0.006      0.187     -0.424      0.175 
48007.0000     -0.114      0.178     -0.287      0.168 
48008.0000     -0.156      0.180     -0.295      0.171 
48009.0000     -0.159      0.185     -0.358      0.176 
48010.0000     -0.157      0.187     -0.401      0.178 
48011.0000     -0.151      0.189     -0.421      0.179 
48012.0000     -0.137      0.191     -0.429      0.182 
48013.0000     -0.115      0.193     -0.425      0.184 
48014.0000     -0.085      0.195     -0.408      0.186 
48015.0000     -0.018      0.197     -0.344      0.188 
48016.0000      0.058      0.200     -0.266      0.192 
48017.0000      0.121      0.205     -0.194      0.197 
48018.0000      0.160      0.208     -0.140      0.201 
48019.0000      0.164      0.210     -0.115      0.203 
48020.0000      0.023      0.213     -0.202      0.212 
48021.0000     -0.121      0.217     -0.301      0.224 
48022.0000     -0.181      0.219     -0.352      0.233 
48023.0000      0.033      0.209     -0.276      0.217 
48024.0000      0.235      0.198     -0.148      0.197 
48025.0000      0.084      0.182      0.047      0.180 
48026.0000     -0.222      0.165      0.123      0.163 
48027.0000     -0.443      0.161     -0.166      0.158 
48028.0000     -0.367      0.167     -0.201      0.162 
48029.0000     -0.073      0.178      0.046      0.171 
48030.0000      0.090      0.181      0.110      0.173 
48031.0000      0.120      0.182      0.025      0.174 
48032.0000      0.072      0.183     -0.087      0.175 
48033.0000     -0.047      0.184     -0.175      0.176 
48034.0000     -0.249      0.184     -0.178      0.175 
48035.0000     -0.270      0.177     -0.153      0.168 
48036.0000     -0.132      0.166     -0.102      0.158 
48037.0000     -0.050      0.166      0.054      0.159 
48038.0000     -0.055      0.174      0.255      0.165 
48039.0000     -0.116      0.182      0.389      0.171 
48040.0000     -0.283      0.183      0.286      0.171 
48041.0000     -0.452      0.183      0.072      0.170 
48042.0000     -0.404      0.187     -0.095      0.172 
48043.0000     -0.210      0.193     -0.209      0.178 
48044.0000      0.006      0.198     -0.288      0.183 
48045.0000      0.008      0.203     -0.296      0.185 
48046.0000     -0.081      0.209     -0.285      0.187 
48047.0000     -0.146      0.215     -0.305      0.188 
48048.0000     -0.049      0.221     -0.487      0.200 
48049.0000      0.089      0.229     -0.643      0.214 
48050.0000      0.200      0.231     -0.512      0.224 
48051.0000      0.146      0.231     -0.218      0.232 
48052.0000     -0.260      0.231      0.088      0.236 
48053.0000     -0.350      0.227      0.066      0.229 
48054.0000     -0.103      0.220     -0.236      0.218 
48055.0000      0.075      0.218     -0.358      0.215 
48056.0000      0.154      0.218     -0.322      0.213 
48057.0000      0.182      0.216     -0.254      0.211 
48058.0000      0.147      0.215     -0.200      0.209 
48059.0000      0.037      0.214     -0.205      0.208 
48060.0000     -0.358      0.216     -0.608      0.210 
48061.0000     -0.527      0.218     -0.695      0.213 
48062.0000     -0.115      0.216      0.030      0.211 
48063.0000      0.162      0.217      0.320      0.213 
48064.0000      0.212      0.218      0.126      0.215 
48065.0000      0.057      0.221     -0.333      0.223 
48066.0000     -0.080      0.220     -0.595      0.223 
48067.0000     -0.101      0.213     -0.498      0.214 
48068.0000     -0.070      0.203     -0.257      0.202 
48069.0000     -0.027      0.196     -0.020      0.192 
48070.0000     -0.033      0.192     -0.089      0.189 
48071.0000     -0.066      0.190     -0.232      0.186 
48072.0000     -0.133      0.189     -0.221      0.185 
48073.0000     -0.219      0.188     -0.098      0.184 
48074.0000     -0.302      0.188      0.068      0.183 
48075.0000     -0.299      0.187      0.120      0.182 
48076.0000     -0.241      0.187      0.096      0.182 
48077.0000     -0.168      0.187      0.043      0.180 
48078.0000     -0.095      0.187     -0.026      0.179 
48079.0000     -0.041      0.187     -0.099      0.179 
48080.0000     -0.102      0.186     -0.166      0.177 
48081.0000     -0.176      0.185     -0.211      0.174 
48082.0000     -0.199      0.184     -0.220      0.171 
48083.0000     -0.077      0.196     -0.154      0.189 
48084.0000      0.075      0.210     -0.059      0.212 
48085.0000      0.114      0.234      0.023      0.247 
48086.0000      0.081      0.265      0.072      0.293 
48087.0000      0.073      0.318      0.031      0.345 
48088.0000      0.094      0.410     -0.088      0.425 
48089.0000      0.103      0.494     -0.224      0.497 
48090.0000      0.070      0.453     -0.304      0.464 
48091.0000     -0.008      0.375     -0.338      0.398 
48092.0000     -0.135      0.320     -0.335      0.351 
48093.0000     -0.355      0.328     -0.287      0.379 
48094.0000      0.015      0.285     -0.242      0.318 
48095.0000      0.253      0.249     -0.325      0.268 
48096.0000      0.127      0.215     -0.392      0.221 
48097.0000     -0.300      0.200     -0.141      0.193 
48098.0000     -0.541      0.197     -0.019      0.189 
48099.0000     -0.565      0.198     -0.047      0.191 
48100.0000     -0.539      0.205     -0.060      0.199 
48101.0000     -0.475      0.219     -0.059      0.213 
48102.0000     -0.358      0.234     -0.069      0.228 
48103.0000     -0.191      0.244     -0.097      0.239 
48104.0000      0.202      0.262     -0.278      0.265 
48105.0000      0.391      0.279     -0.313      0.290 
48106.0000     -0.006      0.301      0.062      0.315 
48107.0000      0.062      0.344      0.046      0.355 
48108.0000      0.204      0.437     -0.109      0.438 
48109.0000      0.005      0.579     -0.084      0.564 
48110.0000     -0.194      0.538     -0.115      0.521 
48111.0000     -0.339      0.411     -0.156      0.399 
48112.0000     -0.316      0.360     -0.032      0.353 
48113.0000     -0.193      0.317      0.176      0.320 
48114.0000     -0.070      0.275      0.353      0.286 
48115.0000     -0.205      0.254      0.228      0.265 
48116.0000     -0.415      0.234     -0.029      0.241 
48117.0000     -0.532      0.216     -0.262      0.219 
48118.0000     -0.334      0.211     -0.306      0.214 
48119.0000      0.001      0.209     -0.247      0.211 
48120.0000      0.090      0.214     -0.171      0.215 
48121.0000     -0.021      0.229     -0.101      0.227 
48122.0000     -0.194      0.250     -0.050      0.244 
48123.0000     -0.355      0.268     -0.038      0.259 
48124.0000     -0.431      0.279     -0.084      0.268 
48125.0000     -0.214      0.336     -0.266      0.321 
48126.0000      0.043      0.409     -0.460      0.390 
48127.0000      0.081      0.395     -0.525      0.379 
48128.0000     -0.029      0.344     -0.498      0.335 
48129.0000     -0.176      0.296     -0.436      0.295 
48130.0000     -0.184      0.323     -0.477      0.323 
48131.0000     -0.109      0.384     -0.529      0.384 
48132.0000      0.001      0.437     -0.504      0.436 
48133.0000      0.137      0.396     -0.288      0.396 
48134.0000      0.276      0.316      0.022      0.318 
48135.0000      0.402      0.291      0.225      0.293 
48136.0000      0.494      0.274      0.329      0.275 
48137.0000      0.536      0.251      0.379      0.251 
48138.0000      0.509      0.230      0.396      0.230 
48139.0000      0.394      0.218      0.397      0.217 
48140.0000      0.073      0.220      0.427      0.217 
48141.0000     -0.253      0.225      0.450      0.219 
48142.0000     -0.315      0.253      0.421      0.242 
48143.0000     -0.166      0.303      0.358      0.286 
48144.0000     -0.055      0.343      0.310      0.321 
48145.0000     -0.218      0.411      0.362      0.375 
48146.0000     -0.067      0.387      0.060      0.354 
48147.0000      0.181      0.340     -0.250      0.316 
48148.0000      0.206      0.306     -0.206      0.289 
48149.0000      0.123      0.264      0.019      0.256 
48150.0000      0.092      0.255      0.151      0.250 
48151.0000      0.094      0.255      0.221      0.255 
48152.0000      0.099      0.256      0.283      0.261 
48153.0000      0.106      0.257      0.334      0.268 
48154.0000      0.118      0.257      0.372      0.272 
48155.0000      0.183      0.250      0.466      0.264 
48156.0000      0.259      0.236      0.551      0.245 
48157.0000      0.312      0.220      0.579      0.224 
48158.0000      0.327      0.208      0.525      0.209 
48159.0000      0.290      0.203      0.366      0.202 
48160.0000      0.164      0.197      0.037      0.194 
48161.0000      0.123      0.193     -0.094      0.190 
48162.0000      0.179      0.191     -0.005      0.188 
48163.0000      0.232      0.192      0.056      0.189 
48164.0000      0.253      0.193      0.103      0.190 
48165.0000      0.130      0.193      0.156      0.191 
48166.0000     -0.063      0.191      0.206      0.193 
48167.0000     -0.226      0.190      0.246      0.194 
48168.0000     -0.225      0.199      0.329      0.201 
48169.0000     -0.125      0.212      0.301      0.210 
48170.0000      0.029      0.221     -0.032      0.218 
48171.0000      0.204      0.232     -0.093      0.225 
48172.0000      0.323      0.245      0.168      0.234 
48173.0000      0.140      0.236      0.067      0.227 
48174.0000     -0.096      0.223     -0.034      0.217 
48175.0000     -0.099      0.219      0.282      0.217 
48176.0000     -0.020      0.216      0.594      0.216 
48177.0000      0.038      0.209      0.682      0.212 
48178.0000      0.064      0.200      0.626      0.207 
48179.0000      0.037      0.193      0.461      0.203 
48180.0000     -0.161      0.186      0.188      0.205 
48181.0000     -0.325      0.179     -0.068      0.209 
48182.0000     -0.199      0.184     -0.190      0.231 
48183.0000      0.060      0.192     -0.128      0.257 
48184.0000      0.239      0.202      0.205      0.306 
48185.0000      0.192      0.215      0.088      0.403 
48186.0000      0.015      0.229     -0.296      0.524 
48187.0000     -0.081      0.208     -0.297      0.427 
48188.0000      0.050      0.200     -0.125      0.355 
48189.0000      0.317      0.197      0.087      0.292 
48190.0000      0.315      0.191      0.123      0.261 
48191.0000      0.139      0.182      0.056      0.230 
48192.0000     -0.043      0.173      0.002      0.202 
48193.0000     -0.019      0.179      0.145      0.199 
48194.0000      0.060      0.188      0.305      0.200 
48195.0000      0.069      0.191      0.305      0.204 
48196.0000      0.040      0.193      0.202      0.211 
48197.0000      0.051      0.209      0.130      0.240 
48198.0000      0.098      0.240      0.087      0.294 
48199.0000      0.132      0.267      0.006      0.342 
48200.0000      0.033      0.290     -0.311      0.423 
48201.0000     -0.015      0.313     -0.534      0.512 
48202.0000      0.187      0.281     -0.319      0.457 
48203.0000      0.282      0.264     -0.073      0.429 
48204.0000      0.191      0.260      0.060      0.429 
48205.0000      0.143      0.273      0.347      0.513 
48206.0000      0.070      0.293      0.505      0.628 
48207.0000     -0.145      0.296      0.148      0.580 
48208.0000     -0.191      0.279     -0.051      0.500 
48209.0000     -0.062      0.252     -0.009      0.391 
48210.0000     -0.009      0.242      0.001      0.351 
48211.0000     -0.023      0.233     -0.026      0.321 
48212.0000     -0.039      0.221     -0.042      0.275 
48213.0000     -0.035      0.209     -0.039      0.232 
48214.0000      0.012      0.201     -0.010      0.206 
48215.0000      0.195      0.198      0.082      0.197 
48216.0000      0.365      0.196      0.176      0.192 
48217.0000      0.330      0.197      0.215      0.191 
48218.0000      0.157      0.201      0.204      0.191 
48219.0000     -0.050      0.205      0.159      0.191 
48220.0000     -0.123      0.210      0.040      0.193 
48221.0000     -0.131      0.217     -0.078      0.197 
48222.0000     -0.128      0.222     -0.125      0.200 
48223.0000     -0.166      0.248      0.029      0.215 
48224.0000     -0.204      0.280      0.251      0.232 
48225.0000     -0.191      0.287      0.351      0.235 
48226.0000     -0.135      0.286      0.355      0.233 
48227.0000     -0.053      0.284      0.327      0.229 
48228.0000      0.045      0.282      0.297      0.226 
48229.0000      0.151      0.282      0.295      0.224 
48230.0000      0.264      0.264      0.412      0.212 
48231.0000      0.358      0.242      0.526      0.197 
48232.0000      0.391      0.233      0.483      0.194 
48233.0000      0.374      0.226      0.344      0.195 
48234.0000      0.322      0.220      0.196      0.196 
48235.0000      0.250      0.218      0.150      0.197 
48236.0000      0.166      0.216      0.164      0.199 
48237.0000      0.073      0.212      0.213      0.197 
48238.0000     -0.012      0.206      0.283      0.192 
48239.0000     -0.070      0.200      0.361      0.188 
48240.0000      0.058      0.196      0.553      0.187 
48241.0000      0.251      0.192      0.731      0.185 
48242.0000      0.388      0.188      0.764      0.183 
48243.0000      0.392      0.186      0.561      0.183 
48244.0000      0.158      0.184     -0.030      0.183 
48245.0000     -0.076      0.182     -0.293      0.185 
48246.0000     -0.221      0.179     -0.225      0.188 
48247.0000     -0.155      0.184     -0.211      0.190 
48248.0000      0.046      0.194     -0.242      0.193 
48249.0000      0.217      0.203     -0.219      0.199 
48250.0000      0.281      0.215     -0.129      0.210 
48251.0000      0.296      0.231     -0.031      0.224 
48252.0000      0.266      0.243      0.043      0.235 
48253.0000      0.179      0.236      0.033      0.228 
48254.0000      0.071      0.221     -0.015      0.213 
48255.0000      0.031      0.216     -0.018      0.209 
48256.0000      0.053      0.213      0.022      0.209 
48257.0000      0.142      0.198      0.081      0.194 
48258.0000      0.211      0.192      0.155      0.191 
48259.0000      0.265      0.189      0.233      0.189 
48260.0000      0.151      0.189      0.355      0.195 
48261.0000      0.010      0.190      0.449      0.204 
48262.0000     -0.061      0.191      0.461      0.212 
48263.0000      0.026      0.198      0.324      0.224 
48264.0000      0.235      0.222      0.061      0.252 
48265.0000      0.046      0.260     -0.022      0.308 
48266.0000     -0.240      0.304      0.011      0.373 
48267.0000     -0.131      0.259      0.032      0.304 
48268.0000      0.030      0.245      0.093      0.276 
48269.0000      0.161      0.237      0.172      0.253 
48270.0000      0.184      0.288      0.102      0.294 
48271.0000      0.142      0.396     -0.056      0.390 
48272.0000      0.102      0.518     -0.200      0.498 
48273.0000      0.111      0.605     -0.263      0.575 
48274.0000      0.226      0.479     -0.162      0.456 
48275.0000      0.331      0.422     -0.035      0.403 
48276.0000      0.394      0.379      0.078      0.362 
48277.0000      0.425      0.308      0.177      0.296 
48278.0000      0.426      0.231      0.257      0.224 
48279.0000      0.401      0.178      0.310      0.173 
48280.0000      0.301      0.171      0.297      0.168 
48281.0000      0.176      0.176      0.243      0.176 
48282.0000      0.063      0.183      0.167      0.186 
48283.0000     -0.018      0.189      0.076      0.194 
48284.0000     -0.047      0.192     -0.026      0.199 
48285.0000      0.104      0.179     -0.186      0.183 
48286.0000      0.293      0.157     -0.318      0.159 
48287.0000      0.430      0.140     -0.361      0.139 
48288.0000      0.411      0.136     -0.213      0.134 
48289.0000      0.323      0.134      0.014      0.133 
48290.0000      0.282      0.143      0.190      0.141 
48291.0000      0.275      0.160      0.291      0.156 
48292.0000      0.268      0.175      0.303      0.169 
48293.0000      0.230      0.179      0.162      0.176 
48294.0000      0.182      0.180     -0.054      0.183 
48295.0000      0.205      0.179     -0.195      0.182 
48296.0000      0.274      0.175     -0.257      0.176 
48297.0000      0.346      0.170     -0.266      0.169 
48298.0000      0.389      0.166     -0.228      0.164 
48299.0000      0.374      0.164     -0.148      0.161 
48300.0000      0.258      0.164      0.011      0.161 
48301.0000      0.125      0.165     -0.141      0.161 
48302.0000      0.082      0.162     -0.320      0.159 
48303.0000      0.152      0.155     -0.260      0.154 
48304.0000      0.244      0.148     -0.115      0.149 
48305.0000      0.121      0.150     -0.100      0.150 
48306.0000     -0.076      0.157     -0.148      0.155 
48307.0000     -0.197      0.162     -0.192      0.159 
48308.0000     -0.042      0.175     -0.183      0.171 
48309.0000      0.209      0.192     -0.149      0.187 
48310.0000      0.219      0.217     -0.136      0.206 
48311.0000      0.092      0.253     -0.131      0.232 
48312.0000     -0.013      0.285     -0.114      0.255 
48313.0000      0.153      0.260     -0.040      0.237 
48314.0000      0.364      0.218      0.028      0.206 
48315.0000      0.332      0.196     -0.007      0.189 
48316.0000      0.157      0.175     -0.093      0.172 
48317.0000      0.039      0.171     -0.133      0.169 
48318.0000      0.010      0.179     -0.111      0.175 
48319.0000      0.010      0.186     -0.063      0.182 
48320.0000     -0.013      0.183      0.023      0.179 
48321.0000     -0.024      0.176      0.106      0.172 
48322.0000      0.013      0.170      0.147      0.166 
48323.0000      0.161      0.170      0.064      0.168 
48324.0000      0.345      0.172     -0.055      0.172 
48325.0000      0.481      0.169     -0.065      0.171 
48326.0000      0.554      0.164     -0.003      0.168 
48327.0000      0.558      0.160      0.064      0.164 
48328.0000      0.440      0.161      0.086      0.164 
48329.0000      0.284      0.163      0.043      0.165 
48330.0000      0.173      0.165     -0.093      0.165 
48331.0000      0.123      0.166     -0.214      0.167 
48332.0000      0.128      0.170     -0.266      0.171 
48333.0000      0.160      0.174     -0.272      0.178 
48334.0000      0.196      0.177     -0.246      0.182 
48335.0000      0.179      0.173     -0.195      0.181 
48336.0000      0.159      0.168     -0.141      0.178 
48337.0000      0.274      0.169     -0.134      0.178 
48338.0000      0.440      0.174     -0.163      0.181 
48339.0000      0.430      0.179     -0.174      0.184 
48340.0000      0.120      0.177     -0.138      0.180 
48341.0000      0.378      0.172     -0.150      0.173 
48342.0000      0.462      0.168     -0.144      0.169 
48343.0000      0.319      0.161     -0.112      0.161 
48344.0000      0.077      0.153     -0.067      0.153 
48345.0000     -0.016      0.153     -0.022      0.153 
48346.0000     -0.013      0.158      0.022      0.157 
48347.0000      0.023      0.166      0.064      0.163 
48348.0000      0.086      0.174      0.103      0.169 
48349.0000      0.165      0.179      0.137      0.172 
48350.0000      0.296      0.186      0.171      0.179 
48351.0000      0.431      0.198      0.196      0.193 
48352.0000      0.533      0.212      0.202      0.209 
48353.0000      0.577      0.223      0.183      0.221 
48354.0000      0.543      0.228      0.133      0.227 
48355.0000      0.213      0.226      0.066      0.227 
48356.0000      0.035      0.223     -0.069      0.225 
48357.0000      0.367      0.248     -0.336      0.249 
48358.0000      0.530      0.244     -0.386      0.243 
48359.0000      0.338      0.216     -0.181      0.213 
48360.0000      0.146      0.202     -0.066      0.198 
48361.0000      0.002      0.189     -0.043      0.184 
48362.0000     -0.071      0.179     -0.069      0.173 
48363.0000      0.060      0.176     -0.163      0.170 
48364.0000      0.152      0.173     -0.233      0.167 
48365.0000      0.067      0.171     -0.215      0.165 
48366.0000      0.042      0.172     -0.141      0.165 
48367.0000      0.154      0.175     -0.054      0.166 
48368.0000      0.293      0.177     -0.010      0.167 
48369.0000      0.362      0.179     -0.082      0.168 
48370.0000      0.288      0.178     -0.308      0.169 
48371.0000      0.230      0.174     -0.325      0.168 
48372.0000      0.198      0.168     -0.159      0.165 
48373.0000      0.159      0.167     -0.084      0.164 
48374.0000      0.116      0.170     -0.124      0.165 
48375.0000      0.086      0.174     -0.174      0.166 
48376.0000      0.093      0.175     -0.152      0.165 
48377.0000      0.170      0.168      0.066      0.161 
48378.0000      0.217      0.161      0.131      0.157 
48379.0000      0.185      0.168     -0.134      0.160 
48380.0000      0.128      0.178     -0.333      0.167 
48381.0000      0.080      0.191     -0.318      0.178 
48382.0000      0.049      0.206     -0.247      0.189 
48383.0000      0.049      0.216     -0.261      0.198 
48384.0000      0.089      0.228     -0.422      0.212 
48385.0000      0.172      0.246     -0.230      0.229 
48386.0000      0.234      0.268      0.067      0.250 
48387.0000      0.133      0.333     -0.032      0.301 
48388.0000      0.031      0.404     -0.303      0.358 
48389.0000      0.220      0.334     -0.418      0.302 
48390.0000      0.265      0.275     -0.383      0.257 
48391.0000      0.023      0.251     -0.197      0.244 
48392.0000      0.085      0.228     -0.068      0.224 
48393.0000      0.292      0.198      0.011      0.197 
48394.0000      0.351      0.190      0.008      0.189 
48395.0000      0.300      0.188     -0.047      0.183 
48396.0000      0.211      0.186     -0.117      0.178 
48397.0000      0.110      0.184     -0.174      0.174 
48398.0000      0.017      0.177     -0.193      0.168 
48399.0000     -0.074      0.174     -0.137      0.165 
48400.0000     -0.151      0.172     -0.040      0.162 
48401.0000     -0.209      0.189     -0.051      0.166 
48402.0000     -0.231      0.224     -0.138      0.176 
48403.0000     -0.200      0.261     -0.233      0.186 
48404.0000     -0.079      0.294     -0.268      0.194 
48405.0000      0.189      0.374     -0.144      0.206 
48406.0000      0.421      0.445     -0.102      0.216 
48407.0000      0.537      0.378     -0.250      0.198 
48408.0000      0.500      0.321     -0.386      0.182 
48409.0000      0.330      0.276     -0.409      0.169 
48410.0000      0.113      0.220     -0.361      0.152 
48411.0000     -0.078      0.173     -0.263      0.138 
48412.0000      0.041      0.167     -0.117      0.139 
48413.0000      0.208      0.162      0.023      0.142 
48414.0000      0.357      0.157      0.124      0.144 
48415.0000      0.246      0.156      0.002      0.146 
48416.0000      0.025      0.156     -0.214      0.147 
48417.0000     -0.146      0.156     -0.390      0.149 
48418.0000     -0.157      0.154     -0.427      0.148 
48419.0000      0.041      0.143     -0.278      0.138 
48420.0000      0.104      0.142     -0.185      0.137 
48421.0000      0.061      0.144     -0.146      0.139 
48422.0000      0.041      0.148     -0.108      0.143 
48423.0000      0.045      0.156     -0.075      0.150 
48424.0000      0.047      0.164     -0.056      0.159 
48425.0000      0.033      0.169     -0.062      0.164 
48426.0000     -0.036      0.166     -0.112      0.160 
48427.0000     -0.087      0.161     -0.174      0.155 
48428.0000     -0.097      0.158     -0.236      0.151 
48429.0000      0.082      0.166     -0.282      0.157 
48430.0000      0.336      0.181     -0.310      0.169 
48431.0000      0.560      0.196     -0.320      0.181 
48432.0000      0.671      0.208     -0.304      0.189 
48433.0000      0.563      0.231     -0.244      0.200 
48434.0000      0.401      0.253     -0.195      0.210 
48435.0000      0.232      0.244     -0.203      0.210 
48436.0000      0.079      0.223     -0.233      0.208 
48437.0000     -0.025      0.225     -0.240      0.222 
48438.0000     -0.073      0.243     -0.212      0.256 
48439.0000     -0.078      0.267     -0.143      0.297 
48440.0000     -0.044      0.354     -0.009      0.421 
48441.0000      0.021      0.456      0.133      0.566 
48442.0000      0.162      0.487      0.206      0.610 
48443.0000      0.391      0.422      0.164      0.516 
48444.0000      0.577      0.346      0.096      0.407 
48445.0000      0.651      0.290      0.032      0.327 
48446.0000      0.523      0.269      0.018      0.294 
48447.0000      0.177      0.289      0.043      0.318 
48448.0000     -0.106      0.248     -0.155      0.265 
48449.0000     -0.104      0.225     -0.205      0.235 
48450.0000      0.086      0.202     -0.110      0.206 
48451.0000      0.188      0.194     -0.012      0.194 
48452.0000      0.171      0.191      0.041      0.190 
48453.0000      0.067      0.190      0.012      0.188 
48454.0000     -0.117      0.197     -0.121      0.191 
48455.0000     -0.180      0.216     -0.143      0.208 
48456.0000     -0.145      0.243     -0.085      0.230 
48457.0000     -0.075      0.237     -0.038      0.225 
48458.0000      0.001      0.220     -0.005      0.211 
48459.0000      0.057      0.205      0.010      0.199 
48460.0000      0.021      0.207     -0.012      0.202 
48461.0000     -0.044      0.212     -0.057      0.209 
48462.0000     -0.082      0.203     -0.131      0.199 
48463.0000     -0.073      0.185     -0.187      0.179 
48464.0000      0.019      0.177     -0.103      0.171 
48465.0000      0.146      0.173      0.021      0.168 
48466.0000      0.230      0.172     -0.027      0.167 
48467.0000      0.274      0.172     -0.156      0.168 
48468.0000      0.242      0.173     -0.235      0.168 
48469.0000      0.174      0.174     -0.255      0.168 
48470.0000      0.119      0.176     -0.221      0.168 
48471.0000      0.183      0.177     -0.027      0.171 
48472.0000      0.267      0.178      0.127      0.176 
48473.0000      0.295      0.181     -0.043      0.181 
48474.0000      0.163      0.184     -0.284      0.185 
48475.0000     -0.192      0.179     -0.238      0.177 
48476.0000     -0.288      0.176     -0.240      0.170 
48477.0000     -0.206      0.172     -0.260      0.161 
48478.0000     -0.149      0.168     -0.187      0.156 
48479.0000     -0.127      0.161     -0.045      0.152 
48480.0000     -0.119      0.153      0.114      0.147 
48481.0000     -0.172      0.150      0.247      0.145 
48482.0000     -0.422      0.161      0.281      0.156 
48483.0000     -0.558      0.174      0.293      0.169 
48484.0000     -0.466      0.183      0.294      0.177 
48485.0000      0.031      0.203      0.305      0.183 
